,BUSCA,RSLP,SNOW,CHAVESOUNDEX,BUSCABR_SEM_VOGAL,BUSCABR,METAPHONEBR,ROBERTO
2082,LEINA,[LEINA],[LEINA],"[LANNA, LEINA, LENI, LENIO, LEONI, LIANE, LINA, LINEA, LINEU, LINO, LIONINA, LUAN, LUIANA]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]",[LEINA],"[HELEANA, HELENA, HELENI, HELENO, HELIANA, LANNA, LEINA, LENI, LENIO, LEONI, LIANE, LINA, LINEA, LINO, LUIANA]","[LEINA, LENI, LINA, LINO]"
2083,LEIR,[LEIR],[LEIR],"[LAHYR, LAIR, LARRY, LARY, LAURA, LAURO, LAYRO, LEIR, LIRIA, LIRIO]","[AELIO, ALAIR, ALAN, ALAOR, ALAYR, ALCI, ALCY, ALEX, ALICE, ALIRIO, ALLAN, ALOIR, ALY, ARACY, ARI, ARIELA, ARIM, ARLECE, ARLELON, ARLEY, ARLI, ARLY, ARON, ARY, AUIRES, AURA, AUREA, AURELIO, AUREO, AURIELES, AURORA, AYRES, ELCI, ELCY, ELI, ELIAS, ELIEL, ELIO, ELIR, ELOA, ELOI, ELOIR, ELOY, ELY, ERELCY, ERILIO, ERLI, ERLICE, ERLY, ERON, EULALIA, EULALIO, EULER, EURA, EURO, HELES, HELIA, HELIO, HÉLIO, HELY, HERIO, HERON, HIELEM, HILARIO, IARA, ILARIO, IRACI, IRACY, IRAN, IRIA, IRIS, IRON, LACI, LACY, LAHYR, LAILA, LAIR, LAIZ, LARRY, LARY, LAUCI, LAURA, LAURECI, LAURO, LAYRO, LEA, LÉA, LECY, LEILA, LEIR, LELES, LIA, LILIA, LIRIA, LIRIO, LIZ, LOACY, LUACY, LUAN, LUCI, ...]",[LEIR],"[CLEIR, LAHYR, LAIR, LEIR]",[LEIR]
2084,LEISE,[LEISE],[LEISE],"[LACI, LACY, LAIZ, LAUCI, LECIO, LECY, LEISE, LESIA, LEUSA, LEZIO, LIZ, LOACY, LUACY, LUCAS, LUCI, LUCIA, LUCIO, LUCY, LUIS, LUISA, LUIZ, LUIZA, LUSIA, LUZIA, LYGIA]","[AELSON, AILISON, AILSON, AILZA, ALCEU, ALCIO, ALCIR, ALECIO, ALEIXO, ALICIO, ALISSON, ALLISON, ALOISIO, ALOYSIO, ALUISIO, ALUIZIO, ALUIZO, ARILSON, ARILZA, ARIZIO, AURIZE, AYLSA, ELAISE, ELCIAS, ELCIO, ELEACIR, ELEAZAR, ELEUZA, ELIEZER, ELISA, ELISEU, ELISIO, ELISSON, ELIZA, ELIZEU, ELIZIO, ELOISA, ELOISIO, ELOIZIA, ELOIZIO, ELSA, ELSIR, ELSON, ELUIZA, ELYSIO, ELZA, ELZI, ELZIO, ELZO, ELZU, ELZY, ERASIO, ERICSSON, HELCIO, HELOISA, HELOIZA, HELSON, HORACIO, ILSA, ILSON, ILZA, LAERCIO, LAERSON, LECIO, LEISE, LESIA, LEUSA, LEZIO, LIELSON, LILIOSA, LUCIA, LUCIO, LUISA, LUIZA, LUSIA, LUZIA, OILSON, RAISSA, REILSON, RILZA, ROSA, ROZA, UILSON, UILZA, ULYSSES]",[LEISE],"[CLEZIO, CLOYSIO, HELOISA, HELOIZA, LEISE, LESIA, LEZIO, LUISA, LUIZA, LUSIA, LUZIA]","[LECY, LEISE, LIZ]"
2085,LELES,[LELES],[LELES],"[LELES, LILIOSA]","[AELIO, ALAIR, ALAN, ALAOR, ALAYR, ALCI, ALCY, ALEX, ALICE, ALIRIO, ALLAN, ALOIR, ALY, ARACY, ARI, ARIELA, ARIM, ARLECE, ARLELON, ARLEY, ARLI, ARLY, ARON, ARY, AUIRES, AURA, AUREA, AURELIO, AUREO, AURIELES, AURORA, AYRES, ELCI, ELCY, ELI, ELIAS, ELIEL, ELIO, ELIR, ELOA, ELOI, ELOIR, ELOY, ELY, ERELCY, ERILIO, ERLI, ERLICE, ERLY, ERON, EULALIA, EULALIO, EULER, EURA, EURO, HELES, HELIA, HELIO, HÉLIO, HELY, HERIO, HERON, HIELEM, HILARIO, IARA, ILARIO, IRACI, IRACY, IRAN, IRIA, IRIS, IRON, LACI, LACY, LAHYR, LAILA, LAIR, LAIZ, LARRY, LARY, LAUCI, LAURA, LAURECI, LAURO, LAYRO, LEA, LÉA, LECY, LEILA, LEIR, LELES, LIA, LILIA, LIRIA, LIRIO, LIZ, LOACY, LUACY, LUAN, LUCI, ...]",[LELES],"[LAUCI, LELES]",[LELES]
2086,LEMUEL,[LEMUEL],[LEMUEL],"[LEMUEL, LEONEL]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]",[LEMUEL],[LEMUEL],[LEMUEL]
2087,LENI,[LENI],"[LENI, LENIS]","[LANNA, LEINA, LENI, LENIO, LEONI, LIANE, LINA, LINEA, LINEU, LINO, LIONINA, LUAN, LUIANA]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]","[LENI, LENICE, LENIS, RENI]","[HELEANA, HELENA, HELENI, HELENO, HELIANA, LANNA, LEINA, LENI, LENIO, LEONI, LIANE, LINA, LINEA, LINO, LUIANA]","[LEINA, LENI, LINA, LINO]"
2088,LENICE,[LENICE],[LENICE],"[LENICE, LENIS, LEONCIO]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]","[LENI, LENICE, LENIS, RENI]","[CLEONICE, LENICE, LENIS, LEONCIO]",[LENICE]
2089,LENILDA,[LENILDA],[LENILDA],"[LENILDA, LEONILDA]","[ARNALDO, ARNOLDO, ERENILDE, ERONILDE, HEREMILDO, LENILDA, LEONARDO, LEONILDA, REINALDO, RENILDE, REYNALDO, ROMILDA, ROMILDO, ROMUALDO, RONALD, RONALDO, RONILDO]",[LENILDA],"[LENILDA, LEONILDA]",[LENILDA]
2090,LENIO,[LENIO],[LENIO],"[LANNA, LEINA, LENI, LENIO, LEONI, LIANE, LINA, LINEA, LINEU, LINO, LIONINA, LUAN, LUIANA]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]",[LENIO],"[HELEANA, HELENA, HELENI, HELENO, HELIANA, LANNA, LEINA, LENI, LENIO, LEONI, LIANE, LINA, LINEA, LINO, LUIANA]",[LENIO]
2091,LENIS,[LENIS],"[LENI, LENIS]","[LENICE, LENIS, LEONCIO]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]","[LENI, LENICE, LENIS, RENI]","[CLEONICE, LENICE, LENIS, LEONCIO]",[LENIS]
2092,LENITA,[LENITA],[LENITA],"[LENITA, LEONIDIO, LINDA, LUANDA]","[ELENITA, ELINETE, EREMITA, ERENITA, ERINETI, ERNESTO, HELMUT, HERENITA, HERONILTON, LENITA, OLINTA, OLINTO, ORIENTE, RENATA, RENATO, RENAULT, ROMILTON, RONAILTOM, RONILTON, RONOTIR]",[LENITA],[LENITA],[LENITA]
2093,LENOIR,[LENOIR],[LENOIR],"[LENOIR, LEOMAR, LEONIR, LEONOR, LIMARIO, LINOMAR]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]",[LENOIR],"[LENOIR, LEONIR, LEONOR]",[LENOIR]
2094,LEOMAR,[LEOMAR],[LEOMAR],"[LENOIR, LEOMAR, LEONIR, LEONOR, LIMARIO, LINOMAR]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]",[LEOMAR],"[CLEMAR, CLEMIR, CLEOMAR, HELIOMAR, HELMER, LEOMAR]","[ELIOMAR, LEOMAR]"
2095,LEONARDO,[LEONARDO],[LEONARDO],[LEONARDO],"[ARNALDO, ARNOLDO, ERENILDE, ERONILDE, HEREMILDO, LENILDA, LEONARDO, LEONILDA, REINALDO, RENILDE, REYNALDO, ROMILDA, ROMILDO, ROMUALDO, RONALD, RONALDO, RONILDO]",[LEONARDO],[LEONARDO],[LEONARDO]
2096,LEONCIO,[LEONCIO],[LEONCIO],"[LENICE, LENIS, LEONCIO]","[ALLONSO, ALONCIO, ALONSO, HELENISE, LAURENICIA, LEONCIO, LINDANUZA, LOURENÇO]",[LEONCIO],"[CLEONICE, LENICE, LENIS, LEONCIO]",[LEONCIO]
2097,LEONEL,[LEONEL],[LEONEL],"[LEMUEL, LEONEL]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]",[LEONEL],"[LEONEL, LINEU]",[LEONEL]
2098,LEONI,"[LEONI, LEONIDAS, LEONIR, LEONOR]","[LEONI, LEONIDAS, LEONIR]","[LANNA, LEINA, LENI, LENIO, LEONI, LIANE, LINA, LINEA, LINEU, LINO, LIONINA, LUAN, LUIANA]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]","[LEONI, LEONIR]","[HELEANA, HELENA, HELENI, HELENO, HELIANA, LANNA, LEINA, LENI, LENIO, LEONI, LIANE, LINA, LINEA, LINO, LUIANA]",[LEONI]
2099,LEONIDAS,"[LEONI, LEONIDAS, LEONIR, LEONOR]","[LEONI, LEONIDAS, LEONIR]","[LEONIDAS, LINDACY]","[LEONIDAS, LEONIDIO]",[LEONIDAS],"[LEONIDAS, LINDACY]",[LEONIDAS]
2100,LEONIDIO,[LEONIDIO],[LEONIDIO],"[LENITA, LEONIDIO, LINDA, LUANDA]","[LEONIDAS, LEONIDIO]",[LEONIDIO],"[LEONIDIO, LINDA, LUANDA]",[LEONIDIO]
2101,LEONILDA,[LEONILDA],[LEONILDA],"[LENILDA, LEONILDA]","[ARNALDO, ARNOLDO, ERENILDE, ERONILDE, HEREMILDO, LENILDA, LEONARDO, LEONILDA, REINALDO, RENILDE, REYNALDO, ROMILDA, ROMILDO, ROMUALDO, RONALD, RONALDO, RONILDO]",[LEONILDA],"[LENILDA, LEONILDA]",[LEONILDA]
2102,LEONIR,"[LEONI, LEONIDAS, LEONIR, LEONOR]","[LEONI, LEONIDAS, LEONIR]","[LENOIR, LEOMAR, LEONIR, LEONOR, LIMARIO, LINOMAR]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]","[LEONI, LEONIR]","[LENOIR, LEONIR, LEONOR]",[LEONIR]
2103,LEONOR,"[LEONI, LEONIDAS, LEONIR, LEONOR]",[LEONOR],"[LENOIR, LEOMAR, LEONIR, LEONOR, LIMARIO, LINOMAR]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]",[LEONOR],"[LENOIR, LEONIR, LEONOR]",[LEONOR]
2104,LEONTINA,[LEONTINA],[LEONTINA],[LEONTINA],"[ALENTINO, ERNESTINA, ERNESTINO, LAURENTINA, LAURENTINO, LEONTINA]",[LEONTINA],[LEONTINA],[LEONTINA]
2105,LEOPOLDINA,"[LEOPOLDINA, LEOPOLDINO]","[LEOPOLDINA, LEOPOLDINO]","[LEOPOLDINA, LEOPOLDINO]","[LEOPOLDINA, LEOPOLDINO]",[LEOPOLDINA],"[LEOPOLDINA, LEOPOLDINO]",[LEOPOLDINA]
2106,LEOPOLDINO,"[LEOPOLDINA, LEOPOLDINO]","[LEOPOLDINA, LEOPOLDINO]","[LEOPOLDINA, LEOPOLDINO]","[LEOPOLDINA, LEOPOLDINO]",[LEOPOLDINO],"[LEOPOLDINA, LEOPOLDINO]",[LEOPOLDINO]
2107,LEOZILIO,[LEOZILIO],[LEOZILIO],"[LEOZILIO, LUCELIA, LUCILA, LUCILIA, LUCILIO]","[ALCIRA, ALCIRIO, ALZIRA, ALZIRO, ELIZIARIO, ELSUILA, ELZIRA, LEOZILIO, LUCELIA, LUCILA, LUCILIA, LUCILIO, ROSALIA, ROSALY, ROSELI, ROSELIA, ROSELY, ROSELYS, ROSILEIA]",[LEOZILIO],[LEOZILIO],[LEOZILIO]
2108,LESIA,[LESIA],[LESIA],"[LACI, LACY, LAIZ, LAUCI, LECIO, LECY, LEISE, LESIA, LEUSA, LEZIO, LIZ, LOACY, LUACY, LUCAS, LUCI, LUCIA, LUCIO, LUCY, LUIS, LUISA, LUIZ, LUIZA, LUSIA, LUZIA, LYGIA]","[AELSON, AILISON, AILSON, AILZA, ALCEU, ALCIO, ALCIR, ALECIO, ALEIXO, ALICIO, ALISSON, ALLISON, ALOISIO, ALOYSIO, ALUISIO, ALUIZIO, ALUIZO, ARILSON, ARILZA, ARIZIO, AURIZE, AYLSA, ELAISE, ELCIAS, ELCIO, ELEACIR, ELEAZAR, ELEUZA, ELIEZER, ELISA, ELISEU, ELISIO, ELISSON, ELIZA, ELIZEU, ELIZIO, ELOISA, ELOISIO, ELOIZIA, ELOIZIO, ELSA, ELSIR, ELSON, ELUIZA, ELYSIO, ELZA, ELZI, ELZIO, ELZO, ELZU, ELZY, ERASIO, ERICSSON, HELCIO, HELOISA, HELOIZA, HELSON, HORACIO, ILSA, ILSON, ILZA, LAERCIO, LAERSON, LECIO, LEISE, LESIA, LEUSA, LEZIO, LIELSON, LILIOSA, LUCIA, LUCIO, LUISA, LUIZA, LUSIA, LUZIA, OILSON, RAISSA, REILSON, RILZA, ROSA, ROZA, UILSON, UILZA, ULYSSES]",[LESIA],"[CLEZIO, CLOYSIO, HELOISA, HELOIZA, LEISE, LESIA, LEZIO, LUISA, LUIZA, LUSIA, LUZIA]",[LESIA]
2109,LETICIA,[LETICIA],[LETICIA],"[LAUDICÉIA, LETICIA]",[LETICIA],[LETICIA],[LETICIA],[LETICIA]
2110,LETIVAN,[LETIVAN],[LETIVAN],[LETIVAN],[LETIVAN],[LETIVAN],[LETIVAN],[LETIVAN]
