,BUSCA,RSLP,SNOW,CHAVESOUNDEX,BUSCABR_SEM_VOGAL,BUSCABR,METAPHONEBR,ROBERTO
32,ADAILTON,[ADAILTON],[ADAILTON],[ADAILTON],"[ADAILTON, ADALTO, ADAUTO, ADEILTO, ADITH, DALTO, DALTON, DAUSTER, EDITE, EDITH, EUDETE, ODETE, ODETTE]",[ADAILTON],[ADAILTON],[ADAILTON]
33,ADAIR,"[ADA, ADAIR, ADAO]","[ADA, ADAIR, ADAO]","[ADAHIR, ADAIR, ADAURI, ADEIR, ADIR, ADYR]","[ADA, ADAHIR, ADAIR, ADAO, ADÃO, ADEIR, ADIR, ADYR, AIDA, AYDIL, DAIR, DARCI, DARCY, DEA, DERCI, DERCY, DIRCE, EDER, EDES, EDI, EDIE, EDIO, EDIR, EDIS, EDU, EDY, EDYR, EUDA, HAYDEE, HEDER, HEDES, HEDY, HEIDER, HEIDI, IDA, IDAIL, IDEAL, IDIS, IEDA, IEDDA, IUDAN, ODAIR, ODYR, YEDA, YEDDA]","[ADAHIR, ADAIR]","[ADAHIR, ADAIR, ADEIR, ADIR, ADYR]",[ADAIR]
34,ADALBERTO,[ADALBERTO],[ADALBERTO],[ADALBERTO],[ADALBERTO],[ADALBERTO],[ADALBERTO],[ADALBERTO]
35,ADALGIDES,[ADALGIDES],[ADALGIDES],[ADALGIDES],[ADALGIDES],[ADALGIDES],[ADALGIDES],[ADALGIDES]
36,ADALRI,[ADALRI],[ADALRI],"[ADALRI, ADELAR, ADELOR, ADILAR]","[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON]",[ADALRI],"[ADALRI, ADAURI]",[ADALRI]
37,ADALTO,[ADALTO],[ADALTO],"[ADALTO, ADEILTO, ADELAIDE]","[ADAILTON, ADALTO, ADAUTO, ADEILTO, ADITH, DALTO, DALTON, DAUSTER, EDITE, EDITH, EUDETE, ODETE, ODETTE]",[ADALTO],"[ADALTO, ADAUTO, ADEILTO]",[ADALTO]
38,ADAO,"[ADA, ADAIR, ADAO]","[ADA, ADAIR, ADAO]","[ADA, ADAO, ADÃO, ADAUTO, ADITH, AIDA, ATAIDE, ATHAIDE, ATHAYDE, AUTA]","[ADA, ADAHIR, ADAIR, ADAO, ADÃO, ADEIR, ADIR, ADYR, AIDA, AYDIL, DAIR, DARCI, DARCY, DEA, DERCI, DERCY, DIRCE, EDER, EDES, EDI, EDIE, EDIO, EDIR, EDIS, EDU, EDY, EDYR, EUDA, HAYDEE, HEDER, HEDES, HEDY, HEIDER, HEIDI, IDA, IDAIL, IDEAL, IDIS, IEDA, IEDDA, IUDAN, ODAIR, ODYR, YEDA, YEDDA]","[ADAO, ADÃO]","[ADA, ADAO, ADÃO, AIDA]","[ADAO, ADÃO]"
39,ADÃO,[],[],"[ADA, ADAO, ADÃO, ADAUTO, ADITH, AIDA, ATAIDE, ATHAIDE, ATHAYDE, AUTA]","[ADA, ADAHIR, ADAIR, ADAO, ADÃO, ADEIR, ADIR, ADYR, AIDA, AYDIL, DAIR, DARCI, DARCY, DEA, DERCI, DERCY, DIRCE, EDER, EDES, EDI, EDIE, EDIO, EDIR, EDIS, EDU, EDY, EDYR, EUDA, HAYDEE, HEDER, HEDES, HEDY, HEIDER, HEIDI, IDA, IDAIL, IDEAL, IDIS, IEDA, IEDDA, IUDAN, ODAIR, ODYR, YEDA, YEDDA]","[ADAO, ADÃO]","[ADA, ADAO, ADÃO, AIDA]","[ADAO, ADÃO]"
40,ADASIO,[ADASIO],[ADASIO],"[ADASIO, ATHOS]","[ADACIR, ADASIO, ADERSON, ADESIL, ADIRCIO, ADIRSON, DACIO, DAISE, DARCIO, DASI, DAYSE, DECIO, DESIO, DEUSIL, DIRCEA, DIRCEU, DIRSO, DIRSON, EDECIO, EDESON, EDIRSON, EDISON, EDIZA, EDSE, EDSON, HUDSON, UDSON]",[ADASIO],[ADASIO],"[ADASIO, EDECIO]"
41,ADAURI,[ADAURI],[ADAURI],"[ADAHIR, ADAIR, ADAURI, ADEIR, ADIR, ADYR]","[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON]",[ADAURI],"[ADALRI, ADAURI]",[ADAURI]
